scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,PPO,PPO,deterministic-full,task-1777727947111461000,completed,att-task-1777727947111461000-1,1,0,,att-task-1777727947111461000-1,1,completed,worker-large,,1777727947,0,1777727951
baseline,PPO,PPO,deterministic-full,task-1777727947115758000,completed,att-task-1777727947115758000-1,1,0,,att-task-1777727947115758000-1,1,completed,worker-medium,,1777727947,0,1777727951
baseline,PPO,PPO,deterministic-full,task-1777727947118703000,completed,att-task-1777727947118703000-1,1,0,,att-task-1777727947118703000-1,1,completed,worker-medium,,1777727947,0,1777727951
baseline,PPO,PPO,deterministic-full,task-1777727947121340000,completed,att-task-1777727947121340000-1,1,0,,att-task-1777727947121340000-1,1,completed,worker-small,,1777727947,0,1777727951
baseline,PPO,PPO,deterministic-full,task-1777727947123421000,completed,att-task-1777727947123421000-1,1,0,,att-task-1777727947123421000-1,1,completed,worker-large,,1777727952,0,1777727956
baseline,PPO,PPO,deterministic-full,task-1777727947126540000,completed,att-task-1777727947126540000-1,1,0,,att-task-1777727947126540000-1,1,completed,worker-large,,1777727952,0,1777727956
baseline,PPO,PPO,deterministic-full,task-1777727947128739000,completed,att-task-1777727947128739000-1,1,0,,att-task-1777727947128739000-1,1,completed,worker-large,,1777727952,0,1777727956
baseline,PPO,PPO,deterministic-full,task-1777727947131351000,completed,att-task-1777727947131351000-1,1,0,,att-task-1777727947131351000-1,1,completed,worker-medium,,1777727952,0,1777727956
baseline,PPO,PPO,deterministic-full,task-1777727947133362000,completed,att-task-1777727947133362000-1,1,0,,att-task-1777727947133362000-1,1,completed,worker-medium,,1777727952,0,1777727956
baseline,PPO,PPO,deterministic-full,task-1777727947136538000,completed,att-task-1777727947136538000-1,1,0,,att-task-1777727947136538000-1,1,completed,worker-small,,1777727952,0,1777727956
baseline,PPO,PPO,deterministic-full,task-1777727947139929000,completed,att-task-1777727947139929000-1,1,0,,att-task-1777727947139929000-1,1,completed,worker-large,,1777727957,0,1777727961
baseline,PPO,PPO,deterministic-full,task-1777727947143659000,completed,att-task-1777727947143659000-1,1,0,,att-task-1777727947143659000-1,1,completed,worker-large,,1777727957,0,1777727961
baseline,PPO,PPO,deterministic-full,task-1777727947146110000,completed,att-task-1777727947146110000-1,1,0,,att-task-1777727947146110000-1,1,completed,worker-medium,,1777727957,0,1777727961
baseline,PPO,PPO,deterministic-full,task-1777727947148492000,completed,att-task-1777727947148492000-1,1,0,,att-task-1777727947148492000-1,1,completed,worker-large,,1777727962,0,1777727966
baseline,PPO,PPO,deterministic-full,task-1777727947150598000,completed,att-task-1777727947150598000-1,1,0,,att-task-1777727947150598000-1,1,completed,worker-large,,1777727962,0,1777727966
baseline,PPO,PPO,deterministic-full,task-1777727947153184000,completed,att-task-1777727947153184000-1,1,0,,att-task-1777727947153184000-1,1,completed,worker-medium,,1777727962,0,1777727966
burst,RR,RR,heterogeneous-smoke,task-1777727971674646000,completed,att-task-1777727971674646000-1,1,0,,att-task-1777727971674646000-1,1,completed,worker-large,,1777727972,0,1777727976
burst,RR,RR,heterogeneous-smoke,task-1777727971680586000,completed,att-task-1777727971680586000-1,1,0,,att-task-1777727971680586000-1,1,completed,worker-medium,,1777727972,0,1777727976
burst,RR,RR,heterogeneous-smoke,task-1777727971684901000,completed,att-task-1777727971684901000-1,1,0,,att-task-1777727971684901000-1,1,completed,worker-small,,1777727972,0,1777727976
burst,RR,RR,heterogeneous-smoke,task-1777727971688069000,completed,att-task-1777727971688069000-1,1,0,,att-task-1777727971688069000-1,1,completed,worker-large,,1777727972,0,1777727976
burst,RR,RR,heterogeneous-smoke,task-1777727971691391000,completed,att-task-1777727971691391000-1,1,0,,att-task-1777727971691391000-1,1,completed,worker-medium,,1777727972,0,1777727976
